START INTJ END || INTJ || START INTJ END
START NOUN DET END || DET || START NOUN DET END
START INTJ NOUN DET END || NOUN DET || START NOUN DET END
START INTJ NOUN DET END || INTJ || START INTJ END
START INTJ NOUN DET END || || START INTJ END
START INTJ NOUN DET END || || START NOUN DET END
START INTJ END || INTJ || START INTJ END
START NOUN DET END || DET || START NOUN DET END
START INTJ NOUN DET END || NOUN DET || START NOUN DET END
START INTJ NOUN DET END || INTJ || START INTJ END
START INTJ NOUN DET END || || START INTJ END
START INTJ NOUN DET END || || START NOUN DET END
START INTJ END || INTJ || START INTJ END
START NOUN DET END || DET || START NOUN DET END
START INTJ NOUN DET END || NOUN DET || START NOUN DET END
START INTJ NOUN DET END || INTJ || START INTJ END
START INTJ NOUN DET END || || START INTJ END
START INTJ NOUN DET END || || START NOUN DET END
START INTJ NOUN DET ADJ VERB END || || START INTJ END
START INTJ NOUN DET ADJ VERB END || || START NOUN DET END
START INTJ NOUN DET ADJ VERB END || || START NOUN DET ADJ DET VERB END
START INTJ NOUN DET ADJ VERB END || ADJ VERB || START NOUN DET ADJ DET VERB END
START INTJ NOUN DET ADJ VERB END || || START INTJ END
START INTJ NOUN DET ADJ VERB END || || START NOUN DET END
START INTJ NOUN DET ADJ VERB END || || START NOUN DET ADJ DET VERB END
START INTJ NOUN DET ADJ VERB END || ADJ VERB || START NOUN DET ADJ DET VERB END
START INTJ NOUN DET ADJ VERB END || || START INTJ END
START INTJ NOUN DET ADJ VERB END || || START NOUN DET END
START INTJ NOUN DET ADJ VERB END || || START NOUN DET ADJ DET VERB END
START INTJ NOUN DET ADJ VERB END || ADJ VERB || START NOUN DET ADJ DET VERB END
